"CommonName","Mass_g"
"Crissal Thrasher",62.9999999342022
"Cactus Wren",38.9999999976204
"Rock Wren",16.9999999851929
"Canyon Wren",12.9999999908153
"Carolina Wren",19.0000000020637
"Bewick's Wren",10
"House Wren",10.4999999983091
"Winter Wren",10
"Sedge Wren",8.99999999089575
"Marsh Wren",11.7500000106123
"Brown Creeper",8.0000000001484
"White-breasted Nuthatch",21.0000000128661
"Red-breasted Nuthatch",10
"Brown-headed Nuthatch",10
"Pygmy Nuthatch",10.9999999959924
"Tufted Titmouse",22.0000000090065
"Oak Titmouse",18.2500000087199
"Juniper Titmouse",18.2500000087199
"Black-capped Chickadee",10.9999999959924
"Carolina Chickadee",10.9999999959924
"Mountain Chickadee",11.7500000106123
"Boreal Chickadee",10
"Chestnut-backed Chickadee",10
"Wrentit",14.9999999980768
"Bushtit",4.99999999613144
"Verdin",6.99999999977021
"Golden-crowned Kinglet",6.24999999504836
"Ruby-crowned Kinglet",6.99999999977021
"Blue-gray Gnatcatcher",5.99999999469977
"Black-tailed Gnatcatcher",4.99999999613144
"Townsend's Solitaire",33.9999999966919
"Wood Thrush",47.0000000069568
"Veery",31.0000000118296
"Gray-cheeked Thrush",33.0000000092788
"Bicknell's Thrush",33.0000000092788
"Swainson's Thrush",31.0000000118296
"Hermit Thrush",31.0000000118296
"American Robin",76.9999999694191
"Varied Thrush",78.0000000555902
"Northern Wheatear",25.4999999745199
"Eastern Bluebird",31.9999999764285
"Western Bluebird",27.9999999779363
"Mountain Bluebird",30.000000019365
"Eurasian Collared-Dove",148.249999987609
